@relation 'admission_stats-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-2,13'

@attribute famincome numeric
@attribute SATCRDG numeric
@attribute SATMATH numeric
@attribute SATWRTG numeric
@attribute SATTotal numeric
@attribute HSGPA numeric
@attribute ACTRead numeric
@attribute ACTMath numeric
@attribute ACTEngWrit numeric
@attribute APIScore numeric
@attribute HSGPAunweighted numeric
@attribute Firststyrunitsforgpa numeric
@attribute Firststyeartotcumunits numeric
@attribute Firstyrcumgpa {0,1,2,3,4}

@data
0.095,0.446429,0.714286,0.5,0.533333,0.787879,0.385864,0.674206,0.488979,0.555556,0.790179,0.578947,0.535948,1
0.15826,0.714286,0.642857,0.583333,0.64,0.814394,0.057413,0.055889,0.054853,0.888889,0.803571,0.526316,0.408497,1
0.067,0.517857,0.517857,0.566667,0.513333,0.723485,0.602618,0.529408,0.415976,0.542892,0.8125,0.552632,0.349673,1
0.094542,0.696429,0.517857,0.7,0.633333,0.787879,0.057413,0.055889,0.054853,1,0.892857,0.526316,0.385621,1
0.145,0.490448,0.518448,0.531311,0.489179,0.814394,0.819372,0.565608,0.671487,0.666667,0.8125,0.526316,0.45098,1
0.570001,0.678571,0.75,0.55,0.653333,0.776515,0.710995,0.746604,0.561982,0.777778,0.754464,0.592105,0.418301,1
0.08,0.464286,0.339286,0.45,0.38,0.708333,0.349738,0.45701,0.452478,0.555556,0.674107,0.486842,0.366013,1
0.055,0.339286,0.482143,0.383333,0.36,0.768939,0.458115,0.529408,0.525481,0.555556,0.866071,0.552632,0.346405,1
0.035,0.357143,0.464286,0.45,0.386667,0.515152,0.205236,0.45701,0.525481,0.555556,0.571429,0.342105,0.189542,1
0.121,0.490448,0.518448,0.531311,0.489179,0.712121,0.855497,0.674206,0.853994,0.542892,0.696429,0.552632,0.581699,1
0.29,0.678571,0.678571,0.65,0.666667,0.484848,0.638743,0.782804,0.817493,1,0.450893,0.5,0.509804,1
0.029065,0.642857,0.625,0.716667,0.66,0.867424,0.057413,0.055889,0.054853,0.555556,0.84375,0.526316,0.411765,1
0.092747,0.25,0.678571,0.566667,0.473333,0.625,0.313613,0.674206,0.415976,1,0.625,0.526316,0.418301,1
0.012,0.714286,0.625,0.516667,0.606667,0.829545,0.057413,0.055889,0.054853,0.888889,0.9375,0.526316,0.281046,1
0.07,0.553571,0.696429,0.666667,0.633333,0.712121,0.057413,0.055889,0.054853,0.222222,0.709821,0.552632,0.650327,1
0.033,0.553571,0.767857,0.533333,0.606667,0.863636,0.057413,0.055889,0.054853,1,0.857143,0.644737,0.48366,1
0.16,0.490448,0.518448,0.531311,0.489179,0.666667,0.855497,0.674206,0.780991,0.542892,0.705357,0.460526,0.359477,1
0.21,0.875,0.803571,0.733333,0.82,0.674242,0.057413,0.055889,0.054853,1,0.754464,0.421053,0.490196,1
0.17,0.571429,0.839286,0.783333,0.74,0.795455,0.057413,0.055889,0.054853,0.777778,0.785714,0.552632,0.428105,1
0.09,0.732143,0.75,0.8,0.773333,0.659091,0.057413,0.055889,0.054853,0.888889,0.732143,0.526316,0.281046,1
0.19,0.714286,0.910714,0.833333,0.84,0.564394,0.057413,0.055889,0.054853,1,0.513393,0.552632,0.352941,1
0.094542,0.732143,0.875,0.7,0.78,0.761364,0.057413,0.055889,0.054853,1,0.816964,0.526316,0.418301,1
0.213,0.642857,0.625,0.766667,0.68,0.549242,0.057413,0.055889,0.054853,0.542892,0.611607,0.526316,0.248366,1
